code,date,open,close,high,low,volume,factor,is_suspended,is_limit_up,is_limit_down,is_st,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010
002812,2024-12-19,33.46,33.52,33.63,33.11,8456433.0,1.0,0,0,0,0,-0.24529965,0.28754033,-0.01681564,-0.22222222,-0.05748159,-0.55987176,-1.0,-0.26200274,-0.28,0.1880141
002812,2024-12-20,33.52,33.77,34.16,33.5,8512704.0,1.0,0,0,0,0,0.26892976,0.34810342,0.1014566,-0.11111111,-0.01359205,-0.60480219,-1.0,-0.30840023,-0.25,0.32256802
002812,2024-12-23,33.77,33.03,34.15,33.03,9248635.0,1.0,0,0,0,0,0.12761793,0.39862395,0.01036963,-0.22222222,-0.00794426,-0.62539886,-1.0,-0.48873653,0.74,0.65639068
002812,2024-12-24,33.45,33.58,33.93,33.25,8141670.0,1.0,0,0,0,0,0.01487571,0.11677618,0.22349865,-0.55555556,-0.0488079,-0.47445724,-1.0,-0.36383229,-0.55,0.14164056
002812,2024-12-25,33.54,32.95,33.78,32.8,7322259.0,1.0,0,0,0,0,-0.11124168,-0.25346918,-0.13105206,-0.33333333,-0.03212598,-0.73373009,-1.0,-0.20113703,0.63,0.83176655
002812,2024-12-26,33.1,33.06,33.4,32.98,5978429.0,1.0,0,0,0,0,-0.23654335,0.10280053,-0.43577128,-0.33333333,-0.02648315,-0.92644897,-1.0,-0.3208619,-0.11,0.46369152
002812,2024-12-27,33.03,33.16,33.49,32.91,7322461.0,1.0,0,0,0,0,-0.31388291,-0.10327976,-0.35925152,-0.11111111,-0.05966609,-0.8602726,-1.0,-0.87774295,-0.1,0.40708831
002812,2024-12-30,33.1,33.1,33.42,32.85,6649350.0,1.0,0,0,0,0,-0.34286834,-0.32717056,-0.10604647,-0.44444444,-0.08527111,-0.60903179,-1.0,-0.93784314,0.06,0.39075054
002812,2024-12-31,33.03,31.99,33.2,31.96,10927468.0,1.0,0,0,0,0,0.00744077,-0.32009645,0.02527012,-0.11111111,-0.05850975,-0.06042833,0.45,-0.84009406,1.11,0.86724104
002812,2025-01-02,31.96,31.03,32.14,30.8,10592287.0,1.0,0,0,0,0,-0.04495593,-0.09713572,-0.02160267,-0.22222222,-0.02961288,0.33610498,0.53333333,-0.82944521,0.96,0.90607248
002812,2025-01-03,31.05,30.14,31.28,30.14,9429841.0,1.0,0,0,0,0,-0.24295223,0.23284035,0.05059667,-0.44444444,-0.0240624,0.37688301,-1.0,-0.60956488,0.89,0.12769291
002812,2025-01-06,30.19,30.17,30.65,29.85,7698990.0,1.0,0,0,0,0,0.32305131,0.65791745,0.0273787,-0.77777778,-0.03519983,0.17071403,-1.0,-0.30411765,-0.03,0.64404622
002812,2025-01-07,30.1,30.46,30.47,29.89,6311186.0,1.0,0,0,0,0,0.17449599,0.45989773,0.18899629,-0.55555556,-0.12394842,0.00163106,-1.0,-0.19608227,-0.29,0.40086123
002812,2025-01-08,30.28,30.01,30.35,29.2,9411985.0,1.0,0,0,0,0,-0.00645919,0.71683932,0.35030481,-0.11111111,-0.11799322,0.10961805,0.78333333,-0.21900098,0.45,0.90585242
002812,2025-01-09,29.78,30.07,30.45,29.78,6374106.0,1.0,0,0,0,0,-0.1683953,0.51370086,0.19855631,-0.11111111,-0.01870397,-0.09976589,-1.0,-0.32054043,-0.06,0.32857143
002812,2025-01-10,30.12,29.17,30.39,29.16,7168511.0,1.0,0,0,0,0,-0.20230875,0.25352038,-0.08043899,-0.11111111,-0.02073445,-0.33412574,-1.0,-0.19800235,0.9,0.85672343
002812,2025-01-13,28.94,29.86,30.0,28.78,8828130.0,1.0,0,0,0,0,-0.31291585,-0.62733478,0.40268165,-0.22222222,-0.0862895,-0.36191949,0.33333333,-0.51988247,-0.69,0.06105675
002812,2025-01-14,29.9,30.66,30.77,29.81,9660466.0,1.0,0,0,0,0,0.10737336,-0.5396441,0.36826871,-0.33333333,-0.1670022,-0.64396719,-0.18333333,-0.4774863,-0.8,0.30921181
002812,2025-01-15,32.99,31.52,33.0,31.43,21064310.0,1.0,0,0,0,0,0.35620723,0.05506268,-0.45071908,-0.66666667,-0.02535131,-0.80470959,-0.36666667,-0.89234684,-0.86,0.02542539
002812,2025-01-16,31.5,31.3,32.07,30.9,12836067.0,1.0,0,0,0,0,0.07028348,0.115505,-0.38272014,-0.33333333,-0.16849819,-0.8641402,-0.26666667,-0.8933255,0.22,0.86109482
002812,2025-01-17,31.27,31.16,31.64,30.95,7259299.0,1.0,0,0,0,0,-0.06140008,-0.0495231,-0.39322775,-0.77777778,-0.16053587,-0.79963019,-1.0,-0.86080658,0.14,0.79243254
002812,2025-01-20,31.33,31.26,31.66,31.16,7418763.0,1.0,0,0,0,0,-0.22208097,-0.03014904,-0.50439169,-0.33333333,-0.18055257,-0.729621,-1.0,-0.81287923,-0.1,0.41531391
002812,2025-01-21,31.4,30.87,31.48,30.71,6865828.0,1.0,0,0,0,0,-0.47262952,0.66624471,-0.72205959,-0.22222222,-0.10075826,-0.64614701,-1.0,-0.83427901,0.39,0.91260997
002812,2025-01-22,30.02,29.3,30.02,29.07,14997382.0,1.0,0,0,0,0,-0.02822817,0.72713005,-0.19691804,-0.11111111,-0.00307203,-0.52018101,0.18333333,-0.11793468,1.57,0.96931796
002812,2025-01-23,29.61,28.96,29.98,28.88,10881410.0,1.0,0,0,0,0,-0.15458984,0.69729062,-0.16227094,-0.11111111,-0.00283985,-0.44753116,0.475,-0.06551926,0.34,0.87517093
002812,2025-01-24,29.0,29.4,29.54,28.81,8090950.0,1.0,0,0,0,0,-0.33330076,0.77741868,-0.26934134,-0.22222222,-0.0170898,-0.46408406,-1.0,-0.11956947,-0.44,0.18506938
002812,2025-01-27,29.5,28.9,29.88,28.9,7284100.0,1.0,0,0,0,0,0.01651036,0.89312263,-0.35071489,-0.11111111,-0.00542332,-0.49257981,-1.0,-0.08628448,0.5,0.81059421
002812,2025-02-05,29.05,29.16,29.23,28.8,7875157.0,1.0,0,0,0,0,-0.21474609,0.78089802,-0.43493721,-0.22222222,-0.03519573,-0.51786003,-1.0,-0.12106395,-0.26,0.27441406
002812,2025-02-06,29.05,29.98,29.99,28.69,12704494.0,1.0,0,0,0,0,0.17119141,0.39202502,0.03605134,-0.11111111,-0.05832596,0.13592352,0.35,-0.1157833,-0.82,0.16181641
002812,2025-02-07,29.96,30.25,30.68,29.88,13523255.0,1.0,0,0,0,0,0.18228862,0.06916518,0.22290409,-0.33333333,-0.03618398,0.33246533,0.18333333,-0.33678655,-0.27,0.21070103
002812,2025-02-10,30.26,30.79,30.93,29.95,12416107.0,1.0,0,0,0,0,0.15218665,-0.41028608,0.15072233,-0.22222222,-0.54049936,0.19563734,-0.41666667,-0.18174712,-0.54,0.87534166
002812,2025-02-11,30.99,30.53,31.49,30.35,11342032.0,1.0,0,0,0,0,-0.03085335,-0.32868255,-0.06386295,-0.44444444,-0.08671005,-0.02784532,-0.43333333,-0.66634089,0.26,0.73979691
002812,2025-02-12,30.31,31.16,31.39,30.31,12437728.0,1.0,0,0,0,0,0.31907831,-0.1508065,-0.61581752,-0.22222222,-0.64591775,-0.49796476,-0.53333333,-0.82838155,-0.63,0.10222613
002812,2025-02-13,31.1,30.95,31.69,30.93,13653769.0,1.0,0,0,0,0,0.19953143,-0.14192884,0.11629442,-1.0,-0.08284359,-0.60157739,-0.66666667,-0.95466093,0.21,0.61138227
002812,2025-02-14,30.87,31.38,31.85,30.83,11997645.0,1.0,0,0,0,0,0.40402265,0.16058253,0.30216484,-1.0,-0.63063876,-0.60327725,-0.73333333,-0.95760063,-0.43,0.13718024
002812,2025-02-17,31.5,31.31,31.78,31.07,11165433.0,1.0,0,0,0,0,0.08897561,-0.41348911,0.34765392,-1.0,-0.0966282,-0.41926259,-0.36666667,-0.94221007,0.07,0.78278689
002812,2025-02-18,31.68,31.63,32.77,31.43,22952957.0,1.0,0,0,0,0,0.45023419,-0.62575221,-0.27296284,-1.0,-0.16603213,-0.52723133,-0.41666667,-0.95762546,-0.32,0.08255269
002812,2025-02-19,31.4,31.76,31.76,30.93,14503585.0,1.0,0,0,0,0,0.33889539,-0.48636106,-0.3220514,-0.55555556,-0.7848564,-0.37628803,-0.25,-0.91216084,-0.13,0.53932475
002812,2025-02-20,31.53,31.26,31.59,31.05,10742080.0,1.0,0,0,0,0,0.06783135,-0.71564282,-0.36062357,-0.33333333,-0.17567286,-0.30913456,-1.0,-0.29246388,0.5,0.92865508
002812,2025-02-21,31.25,31.75,31.88,31.2,16771446.0,1.0,0,0,0,0,-0.13521951,-0.64029601,-0.147716,-0.11111111,-0.30015079,-0.39836512,-0.16666667,-0.17720531,-0.49,0.17726829
002812,2025-02-24,31.73,31.94,32.5,31.36,14729485.0,1.0,0,0,0,0,0.3130613,-0.71522215,-0.13535863,-0.11111111,-0.54644907,-0.39339413,-0.28333333,-0.25619996,-0.19,0.13754393
002812,2025-02-25,31.6,31.97,32.24,31.46,10859112.0,1.0,0,0,0,0,0.40058594,-0.48556579,-0.24060378,-0.22222222,-0.57506149,-0.26289478,-1.0,-0.13244774,-0.03,0.23691406
002812,2025-02-26,32.02,32.96,33.07,31.77,18238536.0,1.0,0,0,0,0,0.29115407,-0.44524518,-0.13980342,-0.22222222,-0.65300295,-0.38058703,-0.53333333,-0.23574219,-0.99,0.9737356
002812,2025-02-27,33.01,33.45,34.39,32.73,29722761.0,1.0,0,0,0,0,0.34791952,-0.76853929,-0.10671604,-0.77777778,-0.075877,-0.78229782,-0.61666667,-0.86244627,0.49,0.85983591
