code,date,open,close,high,low,volume,factor,is_suspended,is_limit_up,is_limit_down,is_st,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010
603501,2024-12-19,98.75,102.73,103.3,98.51,25122241.0,1.0,0,0,0,0,0.32980807,-0.08122701,-0.65941895,-1.0,-0.73612467,-0.03923856,-0.51666667,-0.97903194,-2.21,0.01860556
603501,2024-12-20,102.74,103.46,105.94,102.53,27133924.0,1.0,0,0,0,0,0.26892976,0.13051228,-0.73880929,-1.0,-0.01139466,-0.39222506,-0.5,-0.98218132,-0.74,0.12115874
603501,2024-12-23,103.43,101.35,104.74,101.15,19239009.0,1.0,0,0,0,0,0.12761793,0.12326022,-0.75680475,-0.88888889,-0.03478971,-0.3457499,-0.36666667,-0.98746327,2.12,0.9357017
603501,2024-12-24,101.57,102.25,102.25,100.05,12376560.0,1.0,0,0,0,0,0.01487571,-0.45673874,-0.62137638,-0.88888889,-0.94612293,-0.22002097,-1.0,-0.97746865,-0.9,0.07967894
603501,2024-12-25,102.36,100.76,103.95,100.29,16002857.0,1.0,0,0,0,0,-0.11124168,-0.49693654,-0.53483124,-0.88888889,-0.01007095,-0.08942456,-1.0,-0.30621447,1.5,0.95573835
603501,2024-12-26,100.77,105.45,106.71,99.7,29782479.0,1.0,0,0,0,0,0.40350362,-0.54328768,-0.48003,-0.72222222,-0.7070025,-0.11082799,-0.73333333,-0.86934378,-4.72,0.01027598
603501,2024-12-27,105.34,105.14,107.56,104.8,23351016.0,1.0,0,0,0,0,-0.00058743,-0.04227469,-0.36916148,-1.0,-0.02513875,-0.14833864,-0.53333333,-0.96492947,0.31,0.85882123
603501,2024-12-30,105.16,107.43,109.22,105.15,28447544.0,1.0,0,0,0,0,0.41575235,-0.02933509,-0.47266191,-1.0,-0.0506702,-0.27902943,-0.55,-0.98686275,-2.3,0.00901431
603501,2024-12-31,107.09,103.86,107.93,103.8,19376844.0,1.0,0,0,0,0,0.3379675,-0.23028443,-0.15765879,-1.0,-0.02675718,0.10346696,-0.08333333,-0.95571233,3.59,0.98198551
603501,2025-01-02,103.85,100.05,104.38,98.47,21024575.0,1.0,0,0,0,0,0.28667973,-0.460114,-0.2018863,-0.83333333,-0.01437856,0.08350511,0.25833333,-0.08508136,3.83,0.9906954
603501,2025-01-03,100.42,97.98,100.74,97.59,16015481.0,1.0,0,0,0,0,0.118148,-0.33598215,-0.18735689,-1.0,-0.00252954,-0.18398863,-1.0,-0.02077617,2.08,0.96523698
603501,2025-01-06,98.36,97.62,100.26,97.29,13130337.0,1.0,0,0,0,0,-0.37289463,-0.02336605,-0.02851171,-1.0,-0.00082773,-0.40729028,-1.0,-0.01960784,0.36,0.17596945
603501,2025-01-07,98.08,101.38,101.76,97.76,19754254.0,1.0,0,0,0,0,0.17449599,-0.59096756,0.05835919,-0.66666667,-0.04437669,-0.36411178,0.51666667,-0.01547502,-3.78,0.01370131
