code,date,open,close,high,low,volume,factor,is_suspended,is_limit_up,is_limit_down,is_st,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010
000858,2024-12-19,134.56,134.04,134.85,133.82,16276166.0,1.0,0,0,0,0,0.06130043,0.70740417,-0.17978734,-0.22222222,-0.00154818,-0.90973654,-1.0,-0.02273173,1.65,0.98668233
000858,2024-12-20,134.18,133.73,134.9,133.27,18509400.0,1.0,0,0,0,0,-0.13500293,0.72114776,-0.10650327,-0.11111111,-0.00119071,-0.9016858,-1.0,-0.03407088,0.34,0.94979448
000858,2024-12-23,132.89,133.02,134.41,132.83,15271504.0,1.0,0,0,0,0,-0.36602075,0.83498465,-0.30965574,-0.16666667,-0.00090338,-0.90459366,-1.0,-0.53986288,0.76,0.66647093
000858,2024-12-24,132.92,133.98,134.0,132.32,15349593.0,1.0,0,0,0,0,-0.42522999,0.80499731,-0.43471159,-0.33333333,-0.01676898,-0.89109607,-1.0,-0.03977273,-1.03,0.0662686
000858,2024-12-25,133.98,133.6,134.35,133.14,10295825.0,1.0,0,0,0,0,0.28613396,0.76136067,-0.63521889,-0.11111111,-0.01260347,-0.89252685,-1.0,-0.03273868,0.4,0.7075989
000858,2024-12-26,133.64,133.05,133.74,132.46,11219897.0,1.0,0,0,0,0,0.14259151,0.66063085,-0.62375138,-0.16666667,-0.01696154,-0.87452506,-1.0,-0.01234084,0.59,0.97651204
000858,2024-12-27,133.16,133.08,133.48,132.19,14398654.0,1.0,0,0,0,0,-0.31388291,0.60143279,-0.44157077,-0.33333333,-0.07987777,-0.75382114,-1.0,-0.09874608,-0.03,0.58135892
000858,2024-12-30,132.61,131.86,133.69,131.66,17528027.0,1.0,0,0,0,0,-0.34286834,0.34784589,-0.27988406,-0.44444444,-0.00136107,0.08013662,-1.0,-0.35627451,1.31,0.97119342
000858,2024-12-31,131.87,130.77,134.09,130.74,26261088.0,1.0,0,0,0,0,0.00744077,-0.26301117,-0.08966172,-0.88888889,-0.00050427,0.56970812,0.45,-0.77013521,1.17,0.87722734
000858,2025-01-02,130.73,127.92,130.73,127.27,27377922.0,1.0,0,0,0,0,-0.04495593,-0.26092635,-0.3736235,-0.94444444,-0.00556739,0.75833727,0.63333333,-0.07900412,3.05,0.98648384
000858,2025-01-03,128.0,126.43,128.82,125.83,18016192.0,1.0,0,0,0,0,-0.24295223,-0.00975104,-0.41278047,-1.0,-0.00146449,0.48364996,-1.0,-0.9119953,1.59,0.04524089
000858,2025-01-06,123.16,122.17,125.09,121.75,29924880.0,1.0,0,0,0,0,0.32305131,0.45919498,-0.54255348,-0.88888889,-0.00024414,0.72320779,0.91666667,-0.05294118,-4.57,0.00411281
000858,2025-01-07,122.51,122.18,122.94,121.02,20367650.0,1.0,0,0,0,0,0.17449599,0.4663901,-0.52461145,-0.55555556,-0.01300719,0.59278394,-1.0,-0.02174339,-0.02,0.82168722
000858,2025-01-08,122.19,121.11,123.02,119.54,20655599.0,1.0,0,0,0,0,-0.00645919,0.15378058,-0.51708116,-0.11111111,-0.00020566,0.52283075,0.93333333,-0.0201763,1.15,0.98023096
000858,2025-01-09,121.31,121.93,123.58,119.66,17047356.0,1.0,0,0,0,0,-0.1683953,0.54815164,-0.46436258,-0.11111111,-0.00120496,0.29015616,-1.0,-0.02780497,-0.88,0.04266145
000858,2025-01-10,121.86,120.08,122.17,120.08,14497958.0,1.0,0,0,0,0,-0.20230875,0.6487315,-0.53892249,-0.33333333,-0.00059486,-0.04660098,-1.0,-0.02134743,1.98,0.96261499
000858,2025-01-13,118.89,120.64,120.92,118.55,13010782.0,1.0,0,0,0,0,-0.31291585,0.54892721,-0.45545559,-0.22222222,-0.00817774,-0.42840827,-1.0,-0.10773751,-0.6,0.07084149
000858,2025-01-14,120.74,124.21,124.47,120.36,24483997.0,1.0,0,0,0,0,0.10737336,0.58574063,-0.32339481,-0.27777778,-0.0099846,-0.52888077,0.36666667,-0.94949099,-3.82,0.02131821
000858,2025-01-15,124.47,123.98,124.83,123.46,13720992.0,1.0,0,0,0,0,-0.10166178,0.27699348,-0.44232134,-0.11111111,-0.42737545,-0.37262221,-1.0,-0.96652965,0.25,0.76980246
000858,2025-01-16,124.57,122.77,125.41,122.38,17466385.0,1.0,0,0,0,0,-0.24017595,0.31815577,-0.38232233,-0.16666667,-0.015488,-0.04416713,-1.0,-0.96711685,1.29,0.97869013
000858,2025-01-17,123.26,123.54,125.01,122.84,16326274.0,1.0,0,0,0,0,-0.3009386,0.28223408,-0.70753069,-0.66666667,-0.02421451,-0.09558831,-1.0,-0.95986688,-0.82,0.05612045
000858,2025-01-20,124.08,125.41,126.52,123.94,20794541.0,1.0,0,0,0,0,0.27713671,-0.16153035,-0.00818365,-0.11111111,-0.0841171,-0.04379909,-0.5,-0.98375416,-2.0,0.02102484
000858,2025-01-21,125.92,124.56,126.06,124.0,14221552.0,1.0,0,0,0,0,0.02629521,-0.33239571,0.07703612,-0.22222222,-0.02637274,0.11800773,-1.0,-0.97926042,0.91,0.97086999
000858,2025-01-22,124.14,121.72,124.19,121.51,18653609.0,1.0,0,0,0,0,-0.02822817,-0.46371368,0.33655245,-0.11111111,-0.02917266,0.05966574,-0.15,-0.97692157,3.04,0.99022865
000858,2025-01-23,122.89,122.56,124.78,122.38,19366373.0,1.0,0,0,0,0,-0.15458984,-0.60629111,0.23925161,-0.22222222,-0.00531738,0.06655336,0.23333333,-0.98102875,-0.88,0.0304747
000858,2025-01-24,121.75,121.67,122.49,120.5,19885610.0,1.0,0,0,0,0,-0.33330076,-0.4968491,0.24960606,-0.11111111,-0.01293401,0.16845232,0.43333333,-0.96829746,0.93,0.982607
000858,2025-01-27,121.94,121.17,122.46,121.08,13282751.0,1.0,0,0,0,0,-0.21316921,-0.28214711,-0.00803457,-0.66666667,-0.00153982,0.52595506,-1.0,-0.06202309,0.52,0.81587177
000858,2025-02-05,121.51,119.09,121.82,118.61,19621080.0,1.0,0,0,0,0,-0.39023438,-0.01531245,0.25725807,-0.77777778,-0.00100731,0.32581237,0.58333333,-0.02229611,2.19,0.98125
